Data,Total
1462492800,7606
1461888000,7462
1461283200,7589
1460678400,7859
1460073600,7998
1459468800,8375
1458864000,8291
1458259200,8811
1457654400,8653
1457049600,8645
1456444800,8670
1455840000,8479
1455235200,8556
1454630400,8461
1454025600,8491
1453420800,8791
1452816000,8671
1452211200,8658
1452124800,8427
1451520000,8031
1450915200,8342
1450310400,8032
1449705600,8080
1449100800,7849
1448496000,7397
1447891200,7325
1447286400,7412
1446681600,7392
1446076800,7267
1445472000,7119
1444867200,7055
1444262400,6813
1443657600,6898
1443052800,6617
1442448000,6660
1441843200,6603
1441238400,6954
1440633600,6801
1440028800,7075
1439424000,7219
1438819200,7349
1438214400,7798
1437609600,8164
1437004800,8351
1436400000,8146
1435795200,7111
1435190400,6956
1434585600,7152
1433980800,7364
1433376000,7096
1432771200,7234
1432166400,7543
1431561600,7464
1430956800,7365
1430352000,7802
1429747200,7855
1429142400,7894
1428537600,8282
1427932800,8366
1427328000,8379
1426723200,8785
1426118400,9421
1425513600,10058
1424908800,10580
1424304000,10857
1423699200,10682
1423094400,11046
1422489600,10625
1421884800,10738
1421280000,10415
1420675200,9605
1419984000,8535
1419379200,8245
1418774400,7990
1418169600,7645
1417564800,7729
1416960000,7628
1416355200,7604
1415750400,7333
1415145600,7287
1414540800,7322
1413936000,7265
1413331200,6987
1412726400,6930
1412121600,6508
1411516800,6626
1410912000,6687
1410307200,7057
1409702400,6995
1409097600,6643
1408492800,6724
1407888000,6891
1407283200,6867
1406678400,7127
1406073600,7065
1405468800,6736
1404864000,6851
1404259200,6852
1403654400,7248
1403049600,7404
1402444800,7136
1401840000,6832
1401235200,6904
1400630400,7049
1400025600,7344
1399420800,7307
1398816000,6999
1398211200,7258
1397606400,7635
1397001600,7743
1396396800,7728
1395792000,8034
1395187200,7813
1394582400,8107
1393977600,8252
1393372800,8396
1392768000,8829
1392163200,8996
1391558400,8867
1390953600,9061
1390348800,9126
1389744000,9009
1389139200,9049
1388448000,8572
1387843200,8459
1387238400,8142
1386633600,8183
1386028800,8066
1385424000,7474
1384819200,7246
1384214400,7366
1383609600,6883
1383004800,7017
1382400000,6960
1381795200,6520
1381190400,6939
1380585600,6907
1379980800,6465
1379376000,6376
1378771200,6418
1378166400,6477
1377561600,6757
1376956800,6771
1376352000,6734
1375747200,6795
1375142400,6904
1374537600,7063
1373932800,7807
1373328000,7301
1372723200,6916
1372118400,6670
1371513600,7314
1370908800,7173
1370304000,6988
1369699200,6940
1369094400,7032
1368489600,7166
1367884800,7054
1367280000,7020
1366675200,7253
1366070400,7551
1365465600,7561
1364860800,7703
1364256000,8131
1363651200,7947
1363046400,8739
1362441600,8472
1361836800,8508
1361232000,8609
1360627200,8320
1360022400,8359
1359417600,8328
1358812800,8562
1358208000,8422
1357603200,7914
1356825600,7857
1356220800,7866
1355616000,8137
1355011200,7747
1354406400,7333
1353801600,7308
1353196800,7422
1352592000,7366
1351987200,7350
1351382400,6696
1350777600,6867
1350172800,6845
1349568000,6662
1348963200,6268
1348358400,6644
1347753600,6524
1347148800,6652
1346544000,6536
1345939200,7157
1345334400,6842
1344729600,6959
1344124800,6742
1343520000,6844
1342915200,6612
1342310400,6675
1341705600,6451
1341100800,7267
1340496000,6589
1339891200,6499
1339286400,6771
1338681600,7010
1338076800,6972
1337472000,7235
1336867200,7625
1336262400,7394
1335657600,7551
1335052800,7683
1334448000,7626
1333843200,7759
1333238400,8135
1332633600,8088
1332028800,8907
1331424000,9309
1330819200,10535
1330214400,10993
1329609600,11103
1329004800,10064
1328400000,9256
1327795200,8936
1327190400,9241
1326585600,9131
1325980800,8698
1325289600,8724
1324684800,8380
1324080000,8006
1323475200,7816
1322870400,7654
1322265600,7320
1321660800,7407
1321056000,7408
1320451200,7434
1319846400,7308
1319241600,7141
1318636800,7089
1318032000,6900
1317427200,6756
1316822400,6371
1316217600,6690
1315612800,6605
1315008000,6635
1314403200,6887
1313798400,7051
1313193600,6821
1312588800,6892
1311984000,6698
1311379200,6618
1310774400,6827
1310169600,6873
1309564800,7393
1308960000,7030
1308355200,6851
1307750400,6690
1307145600,6743
1306540800,7218
1305936000,6855
1305331200,6988
1304726400,6941
1304121600,7090
1303516800,6915
1302912000,7071
1302307200,7545
1301702400,7625
1301097600,7529
1300492800,7851
1299888000,7970
1299283200,7822
1298678400,8135
1298073600,8496
1297468800,8684
1296864000,8657
1296259200,8699
1295654400,8419
1295049600,8440
1294444800,8886
1293753600,8499
1293148800,7917
1292544000,7681
1291939200,7782
1291334400,7752
1290729600,7531
1290124800,7354
1289520000,7299
1288915200,7292
1288310400,7305
1287705600,7074
1287100800,6682
1286496000,6942
1285891200,6655
1285286400,6486
1284681600,6329
1284076800,6410
1283472000,6557
1282867200,6822
1282262400,6545
1281657600,6752
1281052800,6651
1280448000,6648
1279843200,6888
1279238400,7298
1278633600,7355
1278028800,7220
1277424000,6808
1276819200,6496
1276214400,6475
1275609600,7162
1275004800,7159
1274400000,7272
1273795200,6884
1273190400,6815
1272585600,7228
1271980800,7156
1271376000,7476
1270771200,7299
1270166400,7237
1269561600,7568
1268956800,7778
1268352000,7498
1267747200,7471
1267142400,8059
1266537600,8283
1265932800,7954
1265328000,8154
1264723200,8063
1264118400,8322
1263513600,8640
1262908800,8205
1262822400,8345
1262217600,8568
1261612800,7969
1261008000,7547
1260403200,7509
1259798400,7219
1259193600,7365
1258588800,7313
1257984000,6918
1257379200,7144
1256774400,7042
1256169600,6685
1255564800,6908
1254960000,6778
1254355200,6539
1253750400,6259
1253145600,6315
1252540800,6482
1251936000,6786
1251331200,6997
1250726400,6679
1250121600,6703
1249516800,6759
1248912000,6693
1248307200,6588
1247702400,6519
1247097600,7041
1246492800,6714
1245888000,7016
1245283200,6803
1244678400,6759
1244073600,6712
1243468800,7053
1242864000,7030
1242259200,7310
1241654400,6994
1241049600,7286
1240444800,7176
1239840000,7285
1239235200,7377
1238630400,7337
1238025600,7425
1237420800,7652
1236816000,7743
1236211200,7844
1235606400,7986
1235001600,8046
1234396800,8451
1233792000,8868
1233187200,9522
1232582400,9868
1231977600,9319
1231372800,9494
1230595200,8713
1229990400,8205
1229385600,7938
1228780800,8102
1228176000,7527
1227571200,7403
1226966400,7529
1226361600,7054
1225756800,7199
1225152000,6846
1224547200,7047
1223942400,7096
1223337600,6539
1222732800,6161
1222128000,6378
1221523200,6289
1220918400,6375
1220313600,6379
1219708800,6577
1219104000,6764
1218499200,6870
1217894400,6953
1217289600,6673
1216684800,6645
1216080000,6754
1215475200,7127
1214870400,7283
1214265600,7015
1213660800,6771
1213056000,6556
1212451200,6440
1211846400,6775
1211241600,6527
1210636800,7075
1210032000,6981
1209427200,7322
1208822400,7347
1208217600,7496
1207612800,7738
1207008000,7731
1206403200,7518
1205798400,7908
1205193600,7796
1204588800,8190
1203984000,8188
1203379200,8347
1202774400,8283
1202169600,8095
1201564800,8150
1200960000,8690
1200355200,8982
1199750400,9001
1199059200,8287
1198454400,8473
1197849600,7861
1197244800,7934
1196640000,7803
1196035200,7837
1195430400,7543
1194825600,7420
1194220800,7249
1193616000,6995
1193011200,7109
1192406400,6612
1191801600,6732
1191196800,6460
1190592000,6243
1189987200,6557
1189382400,6396
1188777600,6492
1188172800,6304
1187568000,6418
1186963200,6608
1186358400,7268
1185753600,6715
1185148800,6623
1184544000,6680
1183939200,6723
1183334400,6565
1182729600,6717
1182124800,6789
1181520000,6844
1180915200,6772
1180310400,6711
1179705600,7086
1179100800,7162
1178496000,6820
1177891200,7029
1177286400,7460
1176681600,7568
1176076800,7628
1175472000,7756
1174867200,7704
1174262400,7396
1173657600,7503
1173052800,8016
1172448000,8009
1171843200,8466
1171238400,9198
1170633600,9021
1170028800,8505
1169424000,8477
1168819200,8807
1168214400,8742
1167523200,8529
1166918400,7909
1166313600,7593
1165708800,7248
1165104000,7044
1164499200,7254
1163894400,6935
1163289600,6726
1162684800,6852
1162080000,6841
1161475200,6686
1160870400,6572
1160265600,6342
1159660800,6475
1159056000,6389
1158451200,6275
1157846400,6755
1157241600,6586
1156636800,6449
1156032000,6142
1155427200,6554
1154822400,6883
1154217600,7349
1153612800,7433
1153008000,7154
1152403200,6630
1151798400,6600
1151193600,6629
1150588800,6588
1149984000,6817
1149379200,6484
1148774400,6523
1148169600,6865
1147564800,6699
1146960000,6776
1146355200,6851
1145750400,6735
1145145600,6869
1144540800,7014
1143936000,7248
1143331200,7300
1142726400,7597
1142121600,7956
1141516800,7893
1140912000,7577
1140307200,7978
1139702400,7862
1139097600,7936
1138492800,7665
1137888000,7936
1137283200,7923
1136678400,8240
1135987200,8245
1135382400,7833
1134777600,7493
1134172800,7153
1133568000,7528
1132963200,7025
1132358400,7051
1131753600,6784
1131148800,6452
1130544000,6665
1129939200,6533
1129334400,6565
1128729600,6375
1128124800,6338
1127520000,6006
1126915200,6143
1126310400,5942
1125705600,6321
1125100800,6079
1124496000,6096
1123891200,6374
1123286400,6233
1122681600,6369
1122076800,6423
1121472000,6489
1120867200,6271
1120262400,6570
1119657600,6908
1119052800,6578
1118448000,6516
1117843200,6528
1117238400,6787
1116633600,6627
1116028800,6525
1115424000,6816
1114819200,6957
1114214400,7022
1113609600,7004
1113004800,7113
1112400000,7536
1111795200,7894
1111190400,8595
1110585600,9000
1109980800,8567
1109376000,8823
1108771200,8866
1108166400,9599
1107561600,10247
1106956800,10154
1106352000,11057
1105747200,11299
1105142400,10846
1104969600,9596
1104364800,8296
1103760000,7837
1103155200,7537
1102550400,7513
1101945600,7389
1101340800,7338
1100736000,6892
1100131200,7067
1099526400,6633
1098921600,7021
1098316800,6621
1097712000,6609
1097107200,6296
1096502400,6200
1095897600,6158
1095292800,6235
1094688000,6277
1094083200,6381
1093478400,6296
1092873600,6507
1092268800,6693
1091664000,7034
1091059200,6738
1090454400,6274
1089849600,6223
1089244800,6868
1088640000,6395
1088035200,6421
1087430400,6590
1086825600,6512
1086220800,6624
1085616000,6927
1085011200,6745
1084406400,6827
1083801600,6832
1083196800,7029
1082592000,7278
1081987200,7070
1081382400,7211
1080777600,7171
1080172800,7417
1079568000,7751
1078963200,7952
1078358400,7579
1077753600,7481
1077148800,7339
1076544000,7597
1075939200,7669
